source,target
1,2
1,3
1,5
1,15
1,70
1,210
1,407
1,788
1,1087
1,1251
1,1543
1,1866
1,2489
1,2906
1,3829
1,15859
1,16861
1,37602
1,49860
1,58110
1,58203
1,67947
1,70725
2,4
2,7
2,23
2,40
2,82
2,303
2,401
2,2860
2,3939
2,4884
2,19304
2,34135
2,68956
3,8
3,16
3,29
3,35
3,42
3,105
3,224
3,270
3,510
3,1207
3,2712
3,3998
3,4368
3,13606
3,13855
3,26323
3,43555
3,52636
3,84753
3,89110
4,73
4,137
4,245
4,260
4,860
4,1109
4,1353
4,3250
4,5359
4,5966
4,10050
4,12565
4,14366
4,15750
4,31918
5,6
5,11
5,28
5,141
5,1034
5,1374
5,2933
5,7014
5,12542
5,15157
5,20313
5,26860
5,33566
5,61158
6,26
6,76
6,117
6,149
6,273
6,521
6,811
6,980
6,1385
6,6052
6,7472
6,9206
6,10152
6,22285
6,27367
6,31279
6,63759
6,69478
6,80165
7,13
7,17
7,71
7,97
7,130
7,174
7,363
7,375
7,471
7,993
7,1802
7,2504
7,3001
7,4810
7,9882
7,13564
7,26579
7,34157
7,73819
7,99588
8,9
8,10
8,12
8,65
8,432
8,661
8,1009
8,4549
8,8452
8,23942
8,26740
8,59856
8,67002
8,79482
9,14
9,46
9,49
9,62
9,116
9,177
9,201
9,292
9,293
9,395
9,508
9,624
9,759
9,1316
9,1434
9,1536
9,1564
9,2907
9,3192
9,3233
9,6526
9,8558
9,10114
9,11754
9,12333
9,13365
9,14273
9,23420
9,28469
9,33861
9,48062
9,51641
9,60333
9,61664
9,71042
9,71077
9,72355
10,18
10,24
10,34
10,48
10,973
10,2266
10,3374
10,10938
10,13949
10,30567
10,38779
10,63081
10,99412
11,20
11,127
11,182
11,410
11,659
11,1268
11,4372
11,9175
11,18365
11,27051
11,29168
11,29222
11,37099
11,37926
11,54016
11,57087
11,60699
11,63887
12,25
12,44
12,88
12,120
12,507
12,3052
12,3105
12,4271
12,4342
12,4748
12,5819
12,5871
12,6570
12,9167
12,12995
12,13320
13,222
13,583
13,935
13,1272
13,1511
13,2226
13,3150
13,4616
13,9122
13,10242
13,10758
13,12170
13,12247
13,13140
13,23058
13,23133
13,55220
13,55275
13,66836
14,917
14,948
14,6676
14,8389
14,36369
14,68196
15,22
15,27
15,30
15,107
15,110
15,176
15,302
15,332
15,466
15,1435
15,1765
15,1855
15,1971
15,2054
15,3687
15,7352
15,7805
15,13688
15,18752
15,28224
15,31173
15,38999
15,69165
15,75493
15,90102
16,247
16,6886
16,7533
16,9027
16,9395
16,22362
16,43221
17,19
17,33
17,66
17,113
17,114
17,164
17,450
17,531
17,1791
17,1869
17,1967
17,2173
17,2891
17,3945
17,4990
17,5759
17,10146
17,50110
17,62944
17,72216
17,73588
18,31
18,37
18,39
18,53
18,63
18,1338
18,5674
18,5724
18,10929
18,11252
18,21563
18,23419
18,30946
18,39336
18,87290
19,154
19,208
19,1162
19,1409
19,2425
19,3709
19,5613
19,5800
19,7179
19,12928
19,16603
19,17844
19,18929
19,23281
19,24711
19,34946
19,47552
19,70922
19,86710
20,21
20,68
20,189
20,262
20,370
20,677
20,987
20,1905
20,3254
20,4915
20,5788
20,5996
20,6002
20,7719
20,14115
20,19671
20,32048
20,35467
21,47
21,77
21,83
21,267
21,340
21,390
21,505
21,3638
21,6011
21,7457
21,11879
21,16441
21,36591
21,49593
21,83982
21,93144
21,94469
22,32
22,38
22,58
22,95
22,365
22,3007
