source,target
1,2
1,3
1,5
1,15
1,70
1,82
1,210
1,303
1,401
1,407
1,788
1,1087
1,1251
1,1543
1,1866
1,2489
1,2712
1,2860
1,2906
1,3250
1,3829
1,3939
1,3998
1,4368
1,4884
1,5359
1,5966
1,7014
1,7472
1,9206
1,10050
1,12542
1,12565
1,13606
1,13855
1,14366
1,15157
1,15750
1,15859
1,16861
1,19304
1,20313
1,22285
1,26323
1,26579
1,26740
1,26860
1,27367
1,31279
1,31918
1,33566
1,33861
1,34135
1,34157
1,37602
1,43555
1,48062
1,49860
1,51641
1,52636
1,58110
1,58203
1,59856
1,60333
1,60699
1,61158
1,61664
1,63081
1,63759
1,63887
1,67002
1,67947
1,68956
1,69478
1,70725
1,71042
1,71077
1,72355
1,73819
1,79482
1,80165
1,84753
1,89110
1,99412
1,99588
2,4
2,7
2,8
2,16
2,23
2,29
2,35
2,40
2,42
2,73
2,105
2,117
2,137
2,141
2,149
2,174
2,224
2,245
2,260
2,270
2,273
2,363
2,375
2,432
2,471
2,510
2,521
2,624
2,661
2,759
2,811
2,860
2,973
2,980
2,993
2,1009
2,1034
2,1109
2,1207
2,1268
2,1272
2,1316
2,1353
2,1374
2,1385
2,1434
2,1511
2,1536
2,1564
2,1765
2,1802
2,1855
2,1971
2,2054
2,2226
2,2266
2,2504
2,2891
2,2907
2,2933
2,3001
2,3052
2,3105
2,3150
2,3192
2,3233
2,3374
2,3687
2,3709
2,3945
2,4271
2,4342
2,4372
2,4549
2,4616
2,4748
2,4810
2,4915
2,4990
2,5002
2,5613
2,5674
2,5724
2,5759
2,5788
2,5800
2,5819
2,5871
2,5996
2,6002
2,6011
2,6034
2,6052
2,6415
2,6526
2,6570
2,6676
2,6886
2,7179
2,7352
2,7457
2,7533
2,7575
2,7719
2,7805
2,8075
2,8389
2,8407
2,8452
2,8558
2,8976
2,9027
2,9033
2,9122
2,9167
2,9175
2,9395
2,9882
2,10040
2,10114
2,10146
2,10152
2,10242
2,10497
2,10632
2,10758
2,10929
2,10938
2,11018
2,11252
2,11327
2,11754
2,11879
2,12068
2,12170
2,12247
2,12311
2,12333
2,12928
2,12995
2,13140
2,13320
2,13365
2,13539
2,13564
2,13595
2,13688
2,13949
2,14115
2,14273
2,14454
2,14472
2,14854
2,15426
2,15496
2,16239
2,16441
2,16603
2,16669
2,16734
2,16804
2,17187
2,17844
2,18229
2,18365
2,18597
2,18752
2,18824
2,18929
2,19268
2,19671
2,19749
2,19821
2,20017
2,20763
2,20951
2,21563
2,21698
2,22362
2,22650
2,23058
2,23089
2,23133
2,23251
2,23281
2,23419
2,23420
2,23942
2,24459
2,24711
2,24714
2,26023
2,26373
2,26502
2,27051
2,27242
2,27987
2,28224
2,28469
2,28760
2,29168
2,29222
2,29619
2,29646
2,30567
2,30946
2,30977
2,31173
2,31483
2,32048
2,32065
2,32862
2,32955
2,33592
2,33615
2,33864
2,34322
2,34946
2,35050
2,35421
2,35467
2,35641
2,36213
2,36358
2,36369
2,36581
2,36591
2,36785
2,36850
2,37099
2,37913
2,37922
2,37926
2,38520
2,38779
2,38880
2,38882
2,38999
2,39267
2,39305
2,39336
2,39506
2,39712
2,41085
2,41302
2,41988
2,42376
2,43098
2,43211
2,43221
2,43227
2,43476
2,43624
2,44089
2,44462
2,45295
2,46690
2,47149
2,47552
2,49593
2,49674
2,49980
2,50110
2,50450
2,51023
2,51441
2,51845
2,52703
2,53819
2,54016
2,55220
2,55275
2,55452
